Designator,Mid X,Mid Y,Rotation,Layer
C1,90.5,-119.5,270.0,top
C10,80.5,-125.5,180.0,top
C11,119.5,-125.5,0.0,top
C12,81.0,-121.0,0.0,top
C13,97.0,-118.0,0.0,top
C14,119.0,-121.0,180.0,top
C15,103.0,-118.0,180.0,top
C16,116.25,-119.5,270.0,top
C17,114.0,-119.5,270.0,top
C18,111.75,-119.5,270.0,top
C19,109.5,-119.5,270.0,top
C2,88.25,-119.5,270.0,top
C24,105.5,-129.25,0.0,top
C25,105.5,-131.6,0.0,top
C3,86.0,-119.5,270.0,top
C4,83.75,-119.5,270.0,top
C5,80.5,-123.0,180.0,top
C6,119.5,-123.0,0.0,top
C7,100.0,-116.1,0.0,top
C8,94.5,-131.6,180.0,top
C9,94.5,-129.25,180.0,top
D1,89.75,-126.0,270.0,top
D10,104.0,-121.0,0.0,top
D2,110.25,-126.0,270.0,top
D3,85.25,-126.0,270.0,top
D4,96.0,-125.75,180.0,top
D5,104.0,-125.75,0.0,top
D6,114.75,-126.0,270.0,top
D7,97.0,-137.25,180.0,top
D8,107.25,-140.5,90.0,top
D9,96.0,-121.0,180.0,top
F2,104.25,-136.75,270.0,top
J1,100.0,-147.5,180.0,top
J2,100.0,-148.5,180.0,bottom
Q1,77.75,-128.75,270.0,top
Q2,122.25,-128.75,270.0,top
Q7,81.25,-128.75,270.0,top
Q8,118.75,-128.75,270.0,top
R1,78.0,-121.0,0.0,top
R10,105.5,-143.5,270.0,top
R11,94.75,-142.0,270.0,top
R12,107.25,-137.5,270.0,top
R2,94.0,-118.0,0.0,top
R3,122.0,-121.0,180.0,top
R4,106.0,-118.0,180.0,top
R5,93.25,-142.0,270.0,top
R9,107.0,-143.5,270.0,top
